date,user_id,action,subject
2/24/2025, 6:54:23 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:54:09 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:54:08 PM,579db272-c0f0-490a-9482-fcbafc821281,read,secret
2/24/2025, 6:54:08 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
2/24/2025, 6:39:39 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:39:38 PM,579db272-c0f0-490a-9482-fcbafc821281,read,secret
2/24/2025, 6:39:38 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
2/24/2025, 6:39:35 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:39:34 PM,579db272-c0f0-490a-9482-fcbafc821281,read,secret
2/24/2025, 6:39:34 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
2/24/2025, 6:35:20 PM,579db272-c0f0-490a-9482-fcbafc821281,read,role
2/24/2025, 6:35:16 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:35:13 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
2/24/2025, 6:35:13 PM,579db272-c0f0-490a-9482-fcbafc821281,read,secret
2/24/2025, 6:31:19 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:31:19 PM,579db272-c0f0-490a-9482-fcbafc821281,read,role
2/24/2025, 6:31:18 PM,579db272-c0f0-490a-9482-fcbafc821281,read,secret
2/24/2025, 6:31:18 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
2/24/2025, 6:31:16 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:31:16 PM,579db272-c0f0-490a-9482-fcbafc821281,read,role
2/24/2025, 6:31:13 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:31:13 PM,579db272-c0f0-490a-9482-fcbafc821281,read,role
2/24/2025, 6:31:08 PM,579db272-c0f0-490a-9482-fcbafc821281,read,secret
2/24/2025, 6:31:08 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
2/24/2025, 6:30:40 PM,579db272-c0f0-490a-9482-fcbafc821281,read,secret
2/24/2025, 6:30:40 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
2/24/2025, 6:28:42 PM,579db272-c0f0-490a-9482-fcbafc821281,read,secret
2/24/2025, 6:28:42 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
2/24/2025, 6:28:39 PM,579db272-c0f0-490a-9482-fcbafc821281,read,role
2/24/2025, 6:28:27 PM,579db272-c0f0-490a-9482-fcbafc821281,read,secret
2/24/2025, 6:28:27 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
2/24/2025, 6:28:06 PM,579db272-c0f0-490a-9482-fcbafc821281,read,secret
2/24/2025, 6:28:06 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
2/24/2025, 6:28:05 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:28:05 PM,579db272-c0f0-490a-9482-fcbafc821281,read,role
2/24/2025, 6:28:04 PM,579db272-c0f0-490a-9482-fcbafc821281,read,secret
2/24/2025, 6:28:04 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
2/24/2025, 6:27:02 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:27:00 PM,579db272-c0f0-490a-9482-fcbafc821281,create,role_binding
2/24/2025, 6:26:52 PM,579db272-c0f0-490a-9482-fcbafc821281,read,role
2/24/2025, 6:26:14 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:23:07 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:19:35 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:19:35 PM,579db272-c0f0-490a-9482-fcbafc821281,read,role
2/24/2025, 6:19:34 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:19:33 PM,579db272-c0f0-490a-9482-fcbafc821281,read,role
2/24/2025, 6:19:31 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:19:23 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:19:23 PM,579db272-c0f0-490a-9482-fcbafc821281,read,role
2/24/2025, 6:19:22 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:19:21 PM,579db272-c0f0-490a-9482-fcbafc821281,read,role
2/24/2025, 6:19:19 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:19:19 PM,579db272-c0f0-490a-9482-fcbafc821281,read,role
2/24/2025, 6:18:18 PM,579db272-c0f0-490a-9482-fcbafc821281,read,user_workspace_roles
2/24/2025, 6:18:18 PM,579db272-c0f0-490a-9482-fcbafc821281,read,user_workspace_roles
2/24/2025, 6:18:18 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:17:54 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:17:53 PM,579db272-c0f0-490a-9482-fcbafc821281,read,role
2/24/2025, 6:17:52 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:17:52 PM,579db272-c0f0-490a-9482-fcbafc821281,read,role
2/24/2025, 6:17:39 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:17:15 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:14:16 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:14:13 PM,579db272-c0f0-490a-9482-fcbafc821281,read,role
2/24/2025, 6:14:12 PM,579db272-c0f0-490a-9482-fcbafc821281,read,secret
2/24/2025, 6:14:12 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
2/24/2025, 6:13:19 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
2/24/2025, 6:13:08 PM,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
